1000, .09
1000, .09
1000, .09
1000, .09
1000, .09
2000, .17
2000, .19
2000, .17
2000, .17
2000, .17
3000, .33
3000, .29
3000, .30
3000, .29
3000, .28
4000, .37
4000, .36
4000, .39
4000, .35
4000, .38
5000, .46
5000, .44
5000, .45
5000, .43
5000, .44
6000, .52
6000, .58
6000, .54
6000, .55
6000, .52
7000, .65
7000, .65
7000, .64
7000, .61
7000, .63
8000, .86
8000, .75
8000, .75
8000, .69
8000, .71
9000, .80
9000, .77
9000, .77
9000, .79
9000, .83
10000, .90
10000, .89
10000, .88
10000, .92
10000, .91
